Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
4,11,121728,10,10,126576,4930,0,14,10,7,9,16864,1024,0,1
4,11,19904,10,10,21312,252,18160,14,10,5,9,16736,1040,0,1
4,11,97728,10,10,105792,1852,70592,14,10,6,9,16736,1096,0,1
4,11,319776,10,10,374944,9208,312608,14,10,6,9,16736,2072,0,1
4,11,197888,10,10,229024,112,187208,14,10,6,9,16736,1328,0,1
1,6,4240,0,4,0,0,4096,8,0,2,12,256,8799820,0,1
4,11,64704,10,10,67632,404,57648,14,10,5,9,16736,1072,0,1
1,6,59496,0,4,0,0,8192,48,0,2,12,34112,1064,0,1
4,11,401484,10,6,418800,3784,405504,12,10,6,12,16736,1952,0,1
4,11,56096,10,10,58544,108,42480,14,10,6,9,16736,1016,0,1
4,11,24608,10,10,30816,328,22680,14,10,6,9,16736,1072,0,1
4,11,19744,10,10,0,0,16656,14,10,5,11,49504,2632,0,1
4,6,4832,6,6,0,0,4096,9,0,4,11,33088,2632,0,1
4,11,27328,10,10,28784,164,24848,14,10,5,9,16736,5624,0,1
4,6,4688,6,6,27616,164,4096,9,0,4,9,320,5432,0,1
4,10,4352,6,6,393648,111,446464,12,0,5,9,352,1760,0,1
1,11,12368,10,10,61024,286,73728,14,10,5,9,16704,992,0,1
4,11,68096,10,10,72752,288,58960,14,10,6,9,16736,992,0,1
1,6,4816,6,6,72464,286,4096,9,0,3,9,320,992,0,1
4,6,5536,6,6,88432,286,4096,9,0,4,9,320,992,0,1
4,6,712704,0,4,729088,148,733600,2,28,9,18,0,0,0,1
1,11,59780,0,6,86016,188,61440,14,10,5,12,320,4736,0,1
1,11,87004,10,6,8360,165,98304,14,10,4,12,320,2880,0,1
1,11,86988,10,6,8348,165,98304,14,10,4,12,320,2888,0,1
1,11,11024,10,10,160160,189,196608,14,10,5,9,16704,1088,0,1
4,11,172224,10,10,181344,192,169544,14,10,6,9,16736,1088,0,1
1,0,0,0,4,0,0,8192,8,0,2,12,1344,952,0,1
1,11,119964,0,6,143360,147,122880,14,10,5,12,320,2032,0,1
1,6,4096,0,6,4128,56,0,14,10,1,12,1344,9076,0,1
4,0,0,0,4,0,0,128064,2,27,9,18,0,2760,0,1
4,6,36864,0,4,0,0,53924,2,25,8,18,32768,2760,0,1
4,6,4864,6,6,56608,182,4096,9,0,4,9,64,1632,0,1
4,6,4880,6,6,59808,182,4096,9,0,4,9,64,1632,0,1
4,6,4720,6,6,83296,148,4096,9,0,5,9,64,1432,0,1
4,6,4864,6,6,82992,182,4096,9,0,4,9,64,1632,0,1
4,6,4880,6,6,86512,182,4096,9,0,4,9,64,1632,0,1
4,6,4464,6,6,83184,182,94208,11,0,5,9,16736,1568,0,1
4,6,4464,6,6,83264,182,94208,11,0,5,9,16736,1568,0,1
4,6,5152,6,6,196256,182,4096,9,0,4,9,64,1632,0,1
4,6,5168,6,6,200464,182,4096,9,0,4,9,64,1632,0,1
4,11,136416,10,10,158752,112,130680,14,10,6,9,16736,1328,0,1
4,0,0,0,4,0,0,373716,2,27,9,18,0,2512,0,1
1,6,53370,1,4,32768,97,37272,2,29,10,18,0,0,0,1
4,11,13168,10,10,14992,188,12560,14,10,6,9,16736,1040,0,1
4,6,718736,10,6,870608,52135,708608,12,10,6,12,16736,1056,0,1
4,0,0,0,4,0,0,319488,8,0,4,12,33024,784,0,1
4,11,45056,10,10,62112,552,41496,14,10,6,9,16736,1376,0,1
1,10,115312,0,6,147072,748,114688,12,0,4,12,320,1504,0,1
1,6,8400,0,4,0,0,8192,11,0,2,12,34112,1064,0,1
4,11,123152,10,10,0,0,77824,14,10,5,11,49504,6320,0,1
1,11,33584,10,10,329472,143,335872,14,10,5,9,16704,2592,0,1
1,11,41188,0,6,57344,112,45056,14,10,3,12,320,0,0,1
1,0,0,0,4,0,0,107244,5,0,4,12,0,41640,0,1
1,10,74144,0,6,99936,292,73728,12,0,4,12,320,1488,0,1
1,11,21392,10,10,83632,172,90112,14,10,5,9,16704,438488,0,1
4,6,1658984,0,4,1622016,58,1629428,2,30,12,18,320,3000,0,1
4,6,2646110,0,4,2609152,48,2616120,2,30,12,18,320,3000,0,1
4,0,0,1,4,0,0,7331840,3,0,4,7,0,35744,0,1
4,11,38080,10,10,42416,168,33776,14,10,5,9,16736,992,0,1
4,6,5072,6,6,48128,165,4096,9,0,4,9,320,992,0,1
4,6,7424,6,6,0,0,4096,9,0,4,11,33088,66880,0,1
1,11,10416,10,10,0,0,143360,14,10,6,9,49600,66880,0,1
4,11,152544,10,10,0,0,140952,14,10,7,11,49632,66880,0,1
1,6,5760,6,6,0,0,4096,9,0,3,9,33088,66880,0,1
1,11,10352,10,10,157696,142,167936,14,10,5,9,16704,500360,0,1
4,11,164192,10,10,193184,144,155008,14,10,6,9,16736,500360,0,1
1,6,4752,6,6,69136,142,4096,9,0,3,9,320,142280,0,1
4,6,5408,6,6,86912,142,4096,9,0,4,9,320,142280,0,1
4,11,206896,10,10,0,0,177648,14,10,5,11,49504,2937496,0,1
4,6,6928,6,6,0,0,4096,9,0,4,11,33088,252400,0,1
4,11,9024,10,10,0,0,8464,14,10,5,11,49504,1056,0,1
1,11,80152,0,6,118784,214,81920,14,10,4,12,320,1344,0,1
1,11,11248,10,10,57072,318,65536,14,10,4,9,16704,1000,0,1
4,11,68656,10,10,79520,328,58256,14,10,5,9,16736,1000,0,1
4,6,20480,0,4,0,0,70192,2,28,16,18,32768,1256,0,1
1,11,96368,10,10,601584,632,618496,14,10,4,9,16704,280860,0,1
4,11,733184,10,10,786080,632,632312,14,10,5,9,16736,280860,0,1
4,6,5760,6,6,700112,632,4096,9,0,4,9,64,283092,0,1
1,11,4416,10,10,5984,857,12288,14,10,4,9,17728,992,0,1
4,11,9024,10,10,9680,860,8464,14,10,5,9,16736,992,0,1
1,6,4240,6,6,6224,857,4096,9,0,3,9,1344,992,0,1
4,6,4432,6,6,7888,857,4096,9,0,4,9,320,992,0,1
4,6,4688,6,6,49792,569,4096,9,0,4,9,320,1328,0,1
1,10,255744,15,6,274624,172,167936,14,11,4,12,16704,405040,0,1
4,10,293280,15,6,333424,172,184320,14,11,5,12,16736,405040,0,1
1,10,4096,15,6,0,0,0,14,11,1,12,1344,370504,0,1
4,10,4096,15,6,0,0,0,14,11,1,12,352,370504,0,1
1,6,25072,0,4,0,0,8192,48,0,2,12,34144,1792,0,1
1,10,1685152,15,6,1930272,232,1572864,14,11,5,12,16704,11576,0,1
1,10,238800,15,6,264832,236,217088,14,11,4,12,16704,7768,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,6956,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,6936,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,6704,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,3376,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,7256,0,1
